time,day,area,year,air_temp
15,62,srimangal,1982,301.0407491
18,62,srimangal,1982,299.0880062
21,62,srimangal,1982,296.3263877
0,63,srimangal,1982,294.3736478
3,63,srimangal,1982,291.612044
6,63,srimangal,1982,286.3689093
9,63,srimangal,1982,290.3899274
12,63,srimangal,1982,298.9199478
15,63,srimangal,1982,302.9410907
18,63,srimangal,1982,300.0977735
21,63,srimangal,1982,296.0766823
0,64,srimangal,1982,293.2333694
3,64,srimangal,1982,289.2122996
6,64,srimangal,1982,288.1690936
9,64,srimangal,1982,291.5106397
12,64,srimangal,1982,298.5992566
15,64,srimangal,1982,301.9409064
18,64,srimangal,1982,299.5780532
21,64,srimangal,1982,296.2364463
0,65,srimangal,1982,293.8735967
3,65,srimangal,1982,290.5320076
6,65,srimangal,1982,288.8291706
9,65,srimangal,1982,291.8867945
12,65,srimangal,1982,298.3731106
15,65,srimangal,1982,301.4308294
18,65,srimangal,1982,299.2687415
21,65,srimangal,1982,296.2110619
0,66,srimangal,1982,294.0489774
3,66,srimangal,1982,290.9913141
6,66,srimangal,1982,289.9795188
9,66,srimangal,1982,291.753426
12,66,srimangal,1982,295.5165189
15,66,srimangal,1982,297.2904812
18,66,srimangal,1982,296.036127
21,66,srimangal,1982,294.2621875
0,67,srimangal,1982,293.0078353
3,67,srimangal,1982,291.2339053
6,67,srimangal,1982,287.3389435
9,67,srimangal,1982,291.233774
12,67,srimangal,1982,299.4961051
15,67,srimangal,1982,303.3910565
18,67,srimangal,1982,300.6369683
21,67,srimangal,1982,296.742067
0,68,srimangal,1982,293.9879831
3,68,srimangal,1982,290.0931025
6,68,srimangal,1982,286.9789389
9,68,srimangal,1982,290.8907562
12,68,srimangal,1982,299.1891224
15,68,srimangal,1982,303.1010611
18,68,srimangal,1982,300.3349613
21,68,srimangal,1982,296.4230729
0,69,srimangal,1982,293.6569774
3,69,srimangal,1982,289.7451098
6,69,srimangal,1982,287.2287914
9,69,srimangal,1982,291.6841863
12,69,srimangal,1982,301.1356754
15,69,srimangal,1982,305.5912086
18,69,srimangal,1982,302.4407376
21,69,srimangal,1982,297.9852617
0,70,srimangal,1982,294.8347956
3,70,srimangal,1982,290.3793434
6,70,srimangal,1982,290.5989705
9,70,srimangal,1982,294.3943068
12,70,srimangal,1982,302.4455754
15,70,srimangal,1982,306.2410295
18,70,srimangal,1982,303.557295
21,70,srimangal,1982,299.7618896
0,71,srimangal,1982,297.0781592
3,71,srimangal,1982,293.282774
6,71,srimangal,1982,291.8289534
9,71,srimangal,1982,295.6873836
12,71,srimangal,1982,303.8724967
15,71,srimangal,1982,307.7310466
18,71,srimangal,1982,305.0026976
21,71,srimangal,1982,301.1441972
0,72,srimangal,1982,298.4158524
3,72,srimangal,1982,294.5573726
6,72,srimangal,1982,292.7290626
9,72,srimangal,1982,296.184663
12,72,srimangal,1982,303.5152297
15,72,srimangal,1982,306.9709374
18,72,srimangal,1982,304.5274348
21,72,srimangal,1982,301.0717716
0,73,srimangal,1982,298.6282728
3,73,srimangal,1982,295.172628
6,73,srimangal,1982,289.988985
9,73,srimangal,1982,293.7309342
12,73,srimangal,1982,301.6689496
15,73,srimangal,1982,305.411015
18,73,srimangal,1982,302.7650312
21,73,srimangal,1982,299.0230139
0,74,srimangal,1982,296.3770342
3,74,srimangal,1982,292.6350368
6,74,srimangal,1982,288.5488158
9,74,srimangal,1982,292.9144233
12,74,srimangal,1982,302.1754412
15,74,srimangal,1982,306.5411842
18,74,srimangal,1982,303.4542031
21,74,srimangal,1982,299.0885162
0,75,srimangal,1982,296.0015399
3,75,srimangal,1982,291.6358763
6,75,srimangal,1982,288.7187546
9,75,srimangal,1982,293.3100438
12,75,srimangal,1982,303.0498137
15,75,srimangal,1982,307.6412454
18,75,srimangal,1982,304.3946816
21,75,srimangal,1982,299.8033089
0,76,srimangal,1982,296.5567501
3,76,srimangal,1982,291.9654019
6,76,srimangal,1982,290.8688566
9,76,srimangal,1982,295.0840096
12,76,srimangal,1982,304.0258596
15,76,srimangal,1982,308.2411434
18,76,srimangal,1982,305.2605507
21,76,srimangal,1982,301.0453211
0,77,srimangal,1982,298.0647331
3,77,srimangal,1982,293.8495259
6,77,srimangal,1982,293.329193
9,77,srimangal,1982,296.3043096
12,77,srimangal,1982,302.6155981
15,77,srimangal,1982,305.590807
18,77,srimangal,1982,303.4870611
21,77,srimangal,1982,300.5118904
0,78,srimangal,1982,298.4081478
3,78,srimangal,1982,295.432993
6,78,srimangal,1982,292.2591976
9,78,srimangal,1982,295.2173274
12,78,srimangal,1982,301.4925808
15,78,srimangal,1982,304.4508024
18,78,srimangal,1982,302.3590681
21,78,srimangal,1982,299.4008845
0,79,srimangal,1982,297.3091535
3,79,srimangal,1982,294.3509857
6,79,srimangal,1982,292.4690501
9,79,srimangal,1982,295.9707575
12,79,srimangal,1982,303.3991338
15,79,srimangal,1982,306.9009499
18,79,srimangal,1982,304.4248444
21,79,srimangal,1982,300.9230733
0,80,srimangal,1982,298.4469717
3,80,srimangal,1982,294.9452193
6,80,srimangal,1982,291.5588842
9,80,srimangal,1982,295.6721164
12,80,srimangal,1982,304.3977559
15,80,srimangal,1982,308.5111158
18,80,srimangal,1982,305.6025927
21,80,srimangal,1982,301.4892857
0,81,srimangal,1982,298.5807672
3,81,srimangal,1982,294.4674821
6,81,srimangal,1982,290.8588092
9,81,srimangal,1982,295.2486836
12,81,srimangal,1982,304.5611802
15,81,srimangal,1982,308.9511908
18,81,srimangal,1982,305.8470502
21,81,srimangal,1982,301.4570961
0,82,srimangal,1982,298.3529604
3,82,srimangal,1982,293.9630296
6,82,srimangal,1982,293.0989224
9,82,srimangal,1982,297.0714068
12,82,srimangal,1982,305.4984699
15,82,srimangal,1982,309.4710776
18,82,srimangal,1982,306.6620792
21,82,srimangal,1982,302.6895225
0,83,srimangal,1982,299.8805285
3,83,srimangal,1982,295.907993
6,83,srimangal,1982,292.8688421
9,83,srimangal,1982,297.1373822
12,83,srimangal,1982,306.1924853
15,83,srimangal,1982,310.4611579
18,83,srimangal,1982,307.4428145
21,83,srimangal,1982,303.1741968
0,84,srimangal,1982,300.1558581
3,84,srimangal,1982,295.8872631
6,84,srimangal,1982,295.2090501
9,84,srimangal,1982,298.7107575
12,84,srimangal,1982,306.1391338
15,84,srimangal,1982,309.6409499
18,84,srimangal,1982,307.1648444
21,84,srimangal,1982,303.6630733
0,85,srimangal,1982,301.1869717
3,85,srimangal,1982,297.6852193
6,85,srimangal,1982,293.799058
9,85,srimangal,1982,297.2716452
12,85,srimangal,1982,304.638247
15,85,srimangal,1982,308.110942
18,85,srimangal,1982,305.6554278
21,85,srimangal,1982,302.1827775
0,86,srimangal,1982,299.7272671
3,86,srimangal,1982,296.2546353
6,86,srimangal,1982,291.3189922
9,86,srimangal,1982,295.0342479
12,86,srimangal,1982,302.9156367
15,86,srimangal,1982,306.6310078
18,86,srimangal,1982,304.0038993
21,86,srimangal,1982,300.2885761
0,87,srimangal,1982,297.6614717
3,87,srimangal,1982,293.9461682
6,87,srimangal,1982,292.9689929
9,87,srimangal,1982,296.6818219
12,87,srimangal,1982,304.5580629
15,87,srimangal,1982,308.2710071
18,87,srimangal,1982,305.6456146
21,87,srimangal,1982,301.9327181
0,88,srimangal,1982,299.3073297
3,88,srimangal,1982,295.5944529
6,88,srimangal,1982,291.818877
9,88,srimangal,1982,295.9588027
12,88,srimangal,1982,304.7410688
15,88,srimangal,1982,308.881123
18,88,srimangal,1982,305.9537246
21,88,srimangal,1982,301.8137236
0,89,srimangal,1982,298.8863297
3,89,srimangal,1982,294.7463507
6,89,srimangal,1982,292.228848
9,89,srimangal,1982,296.4755479
12,89,srimangal,1982,305.4843203
15,89,srimangal,1982,309.731152
18,89,srimangal,1982,306.728252
21,89,srimangal,1982,302.4814749
0,90,srimangal,1982,299.4785797
3,90,srimangal,1982,295.2318252
6,90,srimangal,1982,295.8591482
9,90,srimangal,1982,298.9992794
12,90,srimangal,1982,305.6606231
15,90,srimangal,1982,308.8008518
18,90,srimangal,1982,306.5804218
21,90,srimangal,1982,303.4402335
0,91,srimangal,1982,301.2198069
3,91,srimangal,1982,298.0796353
6,91,srimangal,1982,296.6291357
9,91,srimangal,1982,299.815374
12,91,srimangal,1982,306.5745271
15,91,srimangal,1982,309.7608643
18,91,srimangal,1982,307.5078314
21,91,srimangal,1982,304.3215352
0,92,srimangal,1982,302.0685058
3,92,srimangal,1982,298.8822266
6,92,srimangal,1982,298.3992687
9,92,srimangal,1982,301.0953164
12,92,srimangal,1982,306.8145999
15,92,srimangal,1982,309.5107313
18,92,srimangal,1982,307.6043189
21,92,srimangal,1982,304.9082221
0,93,srimangal,1982,303.0018126
3,93,srimangal,1982,300.3057302
6,93,srimangal,1982,297.5393898
9,93,srimangal,1982,299.7889274
12,93,srimangal,1982,304.5610028
15,93,srimangal,1982,306.8106102
18,93,srimangal,1982,305.2199312
21,93,srimangal,1982,302.9703527
0,94,srimangal,1982,301.3796762
3,94,srimangal,1982,299.1301097
6,94,srimangal,1982,296.5694438
9,94,srimangal,1982,298.6199931
12,94,srimangal,1982,302.9699432
15,94,srimangal,1982,305.0205562
18,94,srimangal,1982,303.5705846
21,94,srimangal,1982,301.5199979
0,95,srimangal,1982,300.0700285
3,95,srimangal,1982,298.0194527
6,95,srimangal,1982,296.1193365
9,95,srimangal,1982,298.5654356
12,95,srimangal,1982,303.7544885
15,95,srimangal,1982,306.2006635
18,95,srimangal,1982,304.4709932
21,95,srimangal,1982,302.0248496
0,96,srimangal,1982,300.2951819
3,96,srimangal,1982,297.8490513
6,96,srimangal,1982,296.2994207
9,96,srimangal,1982,298.4349041
12,96,srimangal,1982,302.9650296
15,96,srimangal,1982,305.1005793
18,96,srimangal,1982,303.5905496
21,96,srimangal,1982,301.4550274
0,97,srimangal,1982,299.9450001
3,97,srimangal,1982,297.8094892
6,97,srimangal,1982,296.4092805
9,97,srimangal,1982,299.0616479
12,97,srimangal,1982,304.6882697
15,97,srimangal,1982,307.3407195
18,97,srimangal,1982,305.465194
21,97,srimangal,1982,302.8127783
0,98,srimangal,1982,300.9372558
3,98,srimangal,1982,298.2848542
6,98,srimangal,1982,296.499272
9,98,srimangal,1982,299.1831863
12,98,srimangal,1982,304.8767304
